OS Benchmark experiment
Test Name:,5.7.19,
       ref          kbest:,0.000000012,
       ref        average:,0.000000020,
       cpu          kbest:,0.002146248,
       cpu        average:,0.002153261,
    getpid          kbest:,0.000000319,
    getpid        average:,0.000000326,
context siwtch          kbest:,0.000004110,
context siwtch        average:,0.000004199,
      send          kbest:,0.000001447,
      send        average:,0.000002077,
      recv          kbest:,0.000000695,
      recv        average:,0.000002231,
  big send          kbest:,0.000021774,
  big send        average:,0.000026883,
  big recv          kbest:,0.000010695,
  big recv        average:,0.000023334,
      fork          kbest:,0.000093599,
      fork       average:,0.000194362,
      fork    Child kbest:,0.000159387,
      fork Child average:,0.000254972,
thr create          kbest:,0.000005929,
thr create       average:,0.000013735,
thr create    Child kbest:,0.000008138,
thr create Child average:,0.000018368,
  big fork          kbest:,0.002387492,
  big fork       average:,0.002837035,
  big fork    Child kbest:,0.002528380,
  big fork Child average:,0.002973758,
 huge fork          kbest:,0.004385473,
 huge fork       average:,0.005869036,
 huge fork    Child kbest:,0.004521298,
 huge fork Child average:,0.006011267,
small write          kbest:,0.000000925,
small write        average:,0.000000962,
small read          kbest:,0.000000524,
small read        average:,0.000000613,
small mmap          kbest:,0.000000611,
small mmap        average:,0.000000633,
small munmap          kbest:,0.000001005,
small munmap        average:,0.000001078,
small page fault          kbest:,0.000000763,
small page fault        average:,0.000000789,
 mid write          kbest:,0.000004309,
 mid write        average:,0.000004747,
  mid read          kbest:,0.000002041,
  mid read        average:,0.000002272,
  mid mmap          kbest:,0.000000607,
  mid mmap        average:,0.000000630,
mid munmap          kbest:,0.000003526,
mid munmap        average:,0.000003611,
mid page fault          kbest:,0.000001179,
mid page fault        average:,0.000001217,
 big write          kbest:,0.000580278,
 big write        average:,0.000595285,
  big read          kbest:,0.000342760,
  big read        average:,0.000345957,
  big mmap          kbest:,0.000000617,
  big mmap        average:,0.000000628,
big munmap          kbest:,0.000077304,
big munmap        average:,0.000077905,
big page fault          kbest:,0.000001560,
big page fault        average:,0.000001590,
huge write          kbest:,0.008290807,
huge write        average:,0.008371470,
 huge read          kbest:,0.011971463,
 huge read        average:,0.012075117,
 huge mmap          kbest:,0.000000605,
 huge mmap        average:,0.000000639,
huge munmap          kbest:,0.000791184,
huge munmap        average:,0.000797568,
huge page fault          kbest:,0.000001560,
huge page fault        average:,0.000001611,
    select          kbest:,0.000000985,
    select        average:,0.000001202,
      poll          kbest:,0.000000977,
      poll        average:,0.000001110,
     epoll          kbest:,0.000001033,
     epoll        average:,0.000001123,
select big          kbest:,0.000117587,
select big        average:,0.000157137,
  poll big          kbest:,0.000126979,
  poll big        average:,0.000159928,
 epoll big          kbest:,0.000163518,
 epoll big        average:,0.000224988,
